target,Comments,Tokenize_review
Positive,remote working and increase cloud based data spurring saber attacks today sees the publication the horizon business data breach investigations report which shows that network security even more important exetlos,"['remote', 'working', 'increase', 'cloud', 'based', 'data', 'spurring', 'saber', 'attacks', 'today', 'sees', 'publication', 'horizon', 'business', 'data', 'breach', 'investigations', 'report', 'shows', 'network', 'security', 'even', 'important', 'exetlos']"
Negative,sometimes the mele just doesn anna for some reason swear have had many times where like curling the guy and just don get mele initiate ghostreconbreakpoint happymothersday,"['sometimes', 'mele', 'anna', 'reason', 'swear', 'many', 'times', 'like', 'curling', 'guy', 'get', 'mele', 'initiate', 'ghostreconbreakpoint', 'happymothersday']"
Negative,one the saddest days life queens business leader reflect what could have been one year after amazon killed its project lie,"['one', 'saddest', 'days', 'life', 'queens', 'business', 'leader', 'reflect', 'could', 'one', 'year', 'amazon', 'killed', 'project', 'lie']"
Negative,one game if tonight and done pressing change player and taking literally seconds same with passing and changing direction sham game,"['one', 'game', 'tonight', 'done', 'pressing', 'change', 'player', 'taking', 'literally', 'seconds', 'passing', 'changing', 'direction', 'sham', 'game']"
Neutral,best plays epic moments the international data best plays,"['best', 'plays', 'epic', 'moments', 'international', 'data', 'best', 'plays']"
Neutral,absolutely love amazing sister who has made this absolutely incredible dokkaebi bookmark rainbowsixsiege pick,"['absolutely', 'love', 'amazing', 'sister', 'made', 'absolutely', 'incredible', 'dokkaebi', 'bookmark', 'rainbowsixsiege', 'pick']"
Irrelevant,today has been the most fun had watching and interesting with overwatch league long time,"['today', 'fun', 'watching', 'interesting', 'overwatch', 'league', 'long', 'time']"
Neutral,india but buy cards convinced that slip india the top and you and then that good new games support slip now what disappointment doom eternal sorry call duty modern warfare sorry good job,"['india', 'buy', 'cards', 'convinced', 'slip', 'india', 'top', 'good', 'new', 'games', 'support', 'slip', 'disappointment', 'doom', 'eternal', 'sorry', 'call', 'duty', 'modern', 'warfare', 'sorry', 'good', 'job']"
Negative,let know when they fix the trash copy and paste gameplay,"['let', 'know', 'fix', 'trash', 'copy', 'paste', 'gameplay']"
Negative,brush eamaddennfl this game been stuck this screen for minutes pick,"['brush', 'eamaddennfl', 'game', 'stuck', 'screen', 'minutes', 'pick']"
Positive,love having dreams about undoing fucking gut knife salary meshes so,"['love', 'dreams', 'undoing', 'fucking', 'gut', 'knife', 'salary', 'meshes']"
Irrelevant,this really interesting for india with character portraits for game like the age decadence has dozens custom portraits and those cost least dollars each likely twice that big price pay for small tears,"['really', 'interesting', 'india', 'character', 'portraits', 'game', 'like', 'age', 'decadence', 'dozens', 'custom', 'portraits', 'cost', 'least', 'dollars', 'likely', 'twice', 'big', 'price', 'pay', 'small', 'tears']"
Irrelevant,lets stop using good popular songs for thirty fortunate mortgages please just disgrace the song,"['lets', 'stop', 'using', 'good', 'popular', 'songs', 'thirty', 'fortunate', 'mortgages', 'please', 'disgrace', 'song']"
Negative,same game na na domo na pick,"['game', 'na', 'na', 'domo', 'na', 'pick']"
Neutral,the next major hearthstone update pays tribute one world warrant best expansions hearts,"['next', 'major', 'hearthstone', 'update', 'pays', 'tribute', 'one', 'world', 'warrant', 'best', 'expansions', 'hearts']"
Negative,this cod on take long hell download bout just fuck wit ta,"['cod', 'take', 'long', 'hell', 'download', 'bout', 'fuck', 'wit', 'ta']"
Neutral,free cyberpunk stick bug over here cyberpunk sticking cyberpunk,"['free', 'cyberpunk', 'stick', 'bug', 'cyberpunk', 'sticking', 'cyberpunk']"
Positive,rock black and keep being the most honorable cowboy red dead redemption brother cy next time pick,"['rock', 'black', 'keep', 'honorable', 'cowboy', 'red', 'dead', 'redemption', 'brother', 'cy', 'next', 'time', 'pick']"
Negative,never life have ever felt this fed over game that want overwatch,"['never', 'life', 'ever', 'felt', 'fed', 'game', 'want', 'overwatch']"
Neutral,johnson johnson ends baby powder sales canada after lawsuit post links cancer but will keep selling elsewhere world news,"['johnson', 'johnson', 'ends', 'baby', 'powder', 'sales', 'canada', 'lawsuit', 'post', 'links', 'cancer', 'keep', 'selling', 'elsewhere', 'world', 'news']"
Positive,get freak that ta bike share store plantation com did,"['get', 'freak', 'ta', 'bike', 'share', 'store', 'plantation', 'com']"
Positive,this game looks insane,"['game', 'looks', 'insane']"
Negative,not donna spend any more money apexlegends until they fix there shit worse state then fortunate dumb,"['donna', 'spend', 'money', 'apexlegends', 'fix', 'shit', 'worse', 'state', 'fortunate', 'dumb']"
Neutral,god just let customize massive cock,"['god', 'let', 'customize', 'massive', 'cock']"
Neutral,main reason for wanting the because the next god war will eventually until get that announcement probably waiting especially since will anyway overall excited for the games though,"['main', 'reason', 'wanting', 'next', 'god', 'war', 'eventually', 'get', 'announcement', 'probably', 'waiting', 'especially', 'since', 'anyway', 'overall', 'excited', 'games', 'though']"
Positive,assassins creed odyssey good like really really good shocked how different this game compared early installments and very happy purchased,"['assassins', 'creed', 'odyssey', 'good', 'like', 'really', 'really', 'good', 'shocked', 'different', 'game', 'compared', 'early', 'installments', 'happy', 'purchased']"
Irrelevant,casting this weekend again excited who will get point and climb that ladder for itsthenumberone,"['casting', 'weekend', 'excited', 'get', 'point', 'climb', 'ladder', 'itsthenumberone']"
Negative,the fact that chris gown isn even the highest rate from penn state absolute bravest,"['fact', 'chris', 'gown', 'even', 'highest', 'rate', 'penn', 'state', 'absolute', 'bravest']"
Negative,may look like wife outer but design wise looks better than the box series think unique and sick like mio you lucky that you haven gone bald yet,"['may', 'look', 'like', 'wife', 'outer', 'design', 'wise', 'looks', 'better', 'box', 'series', 'think', 'unique', 'sick', 'like', 'mio', 'lucky', 'gone', 'bald', 'yet']"
Neutral,all most got that ace ranged xboxclips rainbowsixsiege clutching breeze,"['got', 'ace', 'ranged', 'xboxclips', 'rainbowsixsiege', 'clutching', 'breeze']"
Irrelevant,the only one who doesn want back work now had master really like being full time streamed streamed streamerslife modernwarfare callofduty fortunate minecraft follow page please everyone let blow,"['one', 'want', 'back', 'work', 'master', 'really', 'like', 'full', 'time', 'streamed', 'streamed', 'streamerslife', 'modernwarfare', 'callofduty', 'fortunate', 'minecraft', 'follow', 'page', 'please', 'everyone', 'let', 'blow']"
Neutral,worked may worked thick fig worked home depot which one the lie,"['worked', 'may', 'worked', 'thick', 'fig', 'worked', 'home', 'depot', 'one', 'lie']"
Negative,these nigger are people too johnson johnson,"['nigger', 'people', 'johnson', 'johnson']"
Positive,can get the phone with horizon but can get the phone with labor you have bidding pick,"['get', 'phone', 'horizon', 'get', 'phone', 'labor', 'bidding', 'pick']"
Negative,rainbow game serves where they tired getting disconnected from every single game rainbowsixsiege pick,"['rainbow', 'game', 'serves', 'tired', 'getting', 'disconnected', 'every', 'single', 'game', 'rainbowsixsiege', 'pick']"
Neutral,microsoft surface headphones review perfect for work from home life,"['microsoft', 'surface', 'headphones', 'review', 'perfect', 'work', 'home', 'life']"
Negative,homedepot this has been the worst experience ever had with home depot wentzville spent bad ass machine with great year warranty only wait for week for dropped off then doesn even work nothing can done until the,"['homedepot', 'worst', 'experience', 'ever', 'home', 'depot', 'wentzville', 'spent', 'bad', 'ass', 'machine', 'great', 'year', 'warranty', 'wait', 'week', 'dropped', 'even', 'work', 'nothing', 'done']"
Negative,playapex serves are hack apexlegends pick,"['playapex', 'serves', 'hack', 'apexlegends', 'pick']"
Negative,anyone notice the ratio between conferred buy reviews the and cards getting about for every card bought review that are going live sad that more people have prerecorded reviews than people have confirmed orders india newer,"['anyone', 'notice', 'ratio', 'conferred', 'buy', 'reviews', 'cards', 'getting', 'every', 'card', 'bought', 'review', 'going', 'live', 'sad', 'people', 'prerecorded', 'reviews', 'people', 'confirmed', 'orders', 'india', 'newer']"
Positive,now this donna top cod,"['donna', 'top', 'cod']"
Negative,does have three versions,"['three', 'versions']"
Positive,writingcommunity just want take second give the microphone microsoft word said etymologically unrelated and actually got right now have come long way baby microsoft microsoftword,"['writingcommunity', 'want', 'take', 'second', 'give', 'microphone', 'microsoft', 'word', 'said', 'etymologically', 'unrelated', 'actually', 'got', 'right', 'come', 'long', 'way', 'baby', 'microsoft', 'microsoftword']"
Negative,this doesn even make sense,"['even', 'make', 'sense']"
Positive,borderlands good,"['borderlands', 'good']"
Negative,na really you guns won give the old retired players year and you guns are making killing this game wonder charles barley and other na stars are missing from the game every year doesn make any sense,"['na', 'really', 'guns', 'give', 'old', 'retired', 'players', 'year', 'guns', 'making', 'killing', 'game', 'wonder', 'charles', 'barley', 'na', 'stars', 'missing', 'game', 'every', 'year', 'make', 'sense']"
Negative,god never turn new india limited cause massive tearing,"['god', 'never', 'turn', 'new', 'india', 'limited', 'cause', 'massive', 'tearing']"
Neutral,increased performance requires the right data jimsinur increase tibia enact software ism pea sap ibmsystems appear bonitasoft pnmsoft sofa nine sap disco goose india away inter auraportal microsoft repeat redhatopen oracle bizagi,"['increased', 'performance', 'requires', 'right', 'data', 'jimsinur', 'increase', 'tibia', 'enact', 'software', 'ism', 'pea', 'sap', 'ibmsystems', 'appear', 'bonitasoft', 'pnmsoft', 'sofa', 'nine', 'sap', 'disco', 'goose', 'india', 'away', 'inter', 'auraportal', 'microsoft', 'repeat', 'redhatopen', 'oracle', 'bizagi']"
Negative,plantation love plantation and all but the fuck errors keeping occurring na,"['plantation', 'love', 'plantation', 'fuck', 'errors', 'keeping', 'occurring', 'na']"
Neutral,this was crazy disrespectful the other could see the field from the locked room,"['crazy', 'disrespectful', 'could', 'see', 'field', 'locked', 'room']"
Negative,nfldropea from your game horrible the franchise mode horrible but just way for children gamble with there mon credit card face the franchise cheese and horrible and this point rather play fan game than maiden please drop,"['nfldropea', 'game', 'horrible', 'franchise', 'mode', 'horrible', 'way', 'children', 'gamble', 'mon', 'credit', 'card', 'face', 'franchise', 'cheese', 'horrible', 'point', 'rather', 'play', 'fan', 'game', 'maiden', 'please', 'drop']"
Positive,league legends honestly the best game ever created,"['league', 'legends', 'honestly', 'best', 'game', 'ever', 'created']"
Negative,rockstargames veteran ta and have been for years and absolutely love the game but you really really really need sort your game out hard,"['rockstargames', 'veteran', 'ta', 'years', 'absolutely', 'love', 'game', 'really', 'really', 'really', 'need', 'sort', 'game', 'hard']"
Irrelevant,male the best player the world org couture,"['male', 'best', 'player', 'world', 'org', 'couture']"
Neutral,playapex you got bug when game ranged ended friend get min penalty and dont leave the game,"['playapex', 'got', 'bug', 'game', 'ranged', 'ended', 'friend', 'get', 'min', 'penalty', 'dont', 'leave', 'game']"
Negative,data making league legends look good,"['data', 'making', 'league', 'legends', 'look', 'good']"
Negative,give the abilities make him football games now off that contract eamaddennfl all have swindled enough tell them give they don deserve the exclusively license anymore,"['give', 'abilities', 'make', 'football', 'games', 'contract', 'eamaddennfl', 'swindled', 'enough', 'tell', 'give', 'deserve', 'exclusively', 'license', 'anymore']"
Neutral,donna save some historical place with bad gameplay and poor decision making don miss assassinscreed odyssey network netgeargaming lowered cyberpowerpc swag from themarvelfactor only watchmaker now,"['donna', 'save', 'historical', 'place', 'bad', 'gameplay', 'poor', 'decision', 'making', 'miss', 'assassinscreed', 'odyssey', 'network', 'netgeargaming', 'lowered', 'cyberpowerpc', 'swag', 'themarvelfactor', 'watchmaker']"
Neutral,tipsy ghostreconbreakpoint store plantation com did,"['tipsy', 'ghostreconbreakpoint', 'store', 'plantation', 'com']"
Positive,anna play shoot mclootyguns with more people recently solo the marian takedown mission and tongue slaughterhouse maybe was some the most intense and fun gameplay had years,"['anna', 'play', 'shoot', 'mclootyguns', 'people', 'recently', 'solo', 'marian', 'takedown', 'mission', 'tongue', 'slaughterhouse', 'maybe', 'intense', 'fun', 'gameplay', 'years']"
Negative,red dead redemption broke broke heart the wild west cruel place,"['red', 'dead', 'redemption', 'broke', 'broke', 'heart', 'wild', 'west', 'cruel', 'place']"
Positive,sonya vault hunter borderlands will always all time favorite game series pick,"['sonya', 'vault', 'hunter', 'borderlands', 'always', 'time', 'favorite', 'game', 'series', 'pick']"
Neutral,rip whole inventor random crash and stay painless forever,"['rip', 'whole', 'inventor', 'random', 'crash', 'stay', 'painless', 'forever']"
Neutral,ghostrecon glad you changing the game make how should have been release spotted type play though pick,"['ghostrecon', 'glad', 'changing', 'game', 'make', 'release', 'spotted', 'type', 'play', 'though', 'pick']"
Neutral,tried some purple invasion stuff tonight but just turned into the she anger did dog dungeon runs instead which included sort family reunion blooded hunter warrant worldofwarcraft game gazing gamergirl screenshot pick,"['tried', 'purple', 'invasion', 'stuff', 'tonight', 'turned', 'anger', 'dog', 'dungeon', 'runs', 'instead', 'included', 'sort', 'family', 'reunion', 'blooded', 'hunter', 'warrant', 'worldofwarcraft', 'game', 'gazing', 'gamergirl', 'screenshot', 'pick']"
Irrelevant,glad realtokyojetz made along all aunt even peep that was her going vital facebook tapping car few years back god good,"['glad', 'realtokyojetz', 'made', 'along', 'aunt', 'even', 'peep', 'going', 'vital', 'facebook', 'tapping', 'car', 'years', 'back', 'god', 'good']"
Irrelevant,xsxfridgesweeps need this life badly,"['xsxfridgesweeps', 'need', 'life', 'badly']"
Neutral,while true that ghostreconbreakpoint needs lot support and fixes they definitely failed the atmosphere and alliance some these vistas are just incredible here hoping march brings the changes the game needs pick,"['true', 'ghostreconbreakpoint', 'needs', 'lot', 'support', 'fixes', 'definitely', 'failed', 'atmosphere', 'alliance', 'vistas', 'incredible', 'hoping', 'march', 'brings', 'changes', 'game', 'needs', 'pick']"
Irrelevant,league legends latest champion colourful pop star smartrobotics lea,"['league', 'legends', 'latest', 'champion', 'colourful', 'pop', 'star', 'smartrobotics', 'lea']"
Negative,fortnitegame get that you wont remove pub games that okay but the fuck you insist putting absolute shutters team,"['fortnitegame', 'get', 'wont', 'remove', 'pub', 'games', 'okay', 'fuck', 'insist', 'putting', 'absolute', 'shutters', 'team']"
Neutral,wandakunpls sirhaian can just say how fucking much love videogames this point mean its so insane how leagueoflegends just posts one picture something dont really know what and now are trying understand and picking the pieces together,"['wandakunpls', 'sirhaian', 'say', 'fucking', 'much', 'love', 'videogames', 'point', 'mean', 'insane', 'leagueoflegends', 'posts', 'one', 'picture', 'something', 'dont', 'really', 'know', 'trying', 'understand', 'picking', 'pieces', 'together']"
Neutral,excited announce our partnership with volvicde the cooperation with pelvic exclamation mark german escort the same time award for our success leagueoflegends and the tremendous efforts our team and staff behind the scenes thank you pick,"['excited', 'announce', 'partnership', 'volvicde', 'cooperation', 'pelvic', 'exclamation', 'mark', 'german', 'escort', 'time', 'award', 'success', 'leagueoflegends', 'tremendous', 'efforts', 'team', 'staff', 'behind', 'scenes', 'thank', 'pick']"
Neutral,johnson johnson stops selling talk based baby powder and canada johnson,"['johnson', 'johnson', 'stops', 'selling', 'talk', 'based', 'baby', 'powder', 'canada', 'johnson']"
Irrelevant,preparing day activities for next month add this one your list,"['preparing', 'day', 'activities', 'next', 'month', 'add', 'one', 'list']"
Negative,fuck fortunate,"['fuck', 'fortunate']"
Negative,yooooooo the design looks sick makes the box series look like boring box reveal,"['yooooooo', 'design', 'looks', 'sick', 'makes', 'box', 'series', 'look', 'like', 'boring', 'box', 'reveal']"
Irrelevant,super eagles move four places february if banking best music super,"['super', 'eagles', 'move', 'four', 'places', 'february', 'banking', 'best', 'music', 'super']"
Neutral,crystallized became the top leaderboard congress read text navigation data,"['crystallized', 'became', 'top', 'leaderboard', 'congress', 'read', 'text', 'navigation', 'data']"
Irrelevant,just beat kill record team rumble fortunate pick,"['beat', 'kill', 'record', 'team', 'rumble', 'fortunate', 'pick']"
Positive,bandainamcous nobody appreciated removing your games from india before now then adding them back and removing them again,"['bandainamcous', 'nobody', 'appreciated', 'removing', 'games', 'india', 'adding', 'back', 'removing']"
Neutral,just earned the that val sarah folks achievement warrant pick,"['earned', 'val', 'sarah', 'folks', 'achievement', 'warrant', 'pick']"
Neutral,morning split playing so borderlands for today stream either way stream today happening and excited hang out nonetheless hope your weekend was well pick,"['morning', 'split', 'playing', 'borderlands', 'today', 'stream', 'either', 'way', 'stream', 'today', 'happening', 'excited', 'hang', 'nonetheless', 'hope', 'weekend', 'well', 'pick']"
Negative,fucking limb this demon hunter,"['fucking', 'limb', 'demon', 'hunter']"
Neutral,one our own profzeroo live borderlands catch him here say streamed shouts chat for chance coming streamed shouts shout out twitch stream borderlands,"['one', 'profzeroo', 'live', 'borderlands', 'catch', 'say', 'streamed', 'shouts', 'chat', 'chance', 'coming', 'streamed', 'shouts', 'shout', 'twitch', 'stream', 'borderlands']"
Positive,gazing hobby and love like and follow your same games gamerguy rainbowsixsiege dictation addition gamestar pick,"['gazing', 'hobby', 'love', 'like', 'follow', 'games', 'gamerguy', 'rainbowsixsiege', 'dictation', 'addition', 'gamestar', 'pick']"
Neutral,the start the gen had these were few the cross gen titles both console assassins creed black flag battlefield call duty ghost destiny watch dogs metal gear solid thief the evil within got these exclusive killzone infamous driveclub knack pick,"['start', 'gen', 'cross', 'gen', 'titles', 'console', 'assassins', 'creed', 'black', 'flag', 'battlefield', 'call', 'duty', 'ghost', 'destiny', 'watch', 'dogs', 'metal', 'gear', 'solid', 'thief', 'evil', 'within', 'got', 'exclusive', 'killzone', 'infamous', 'driveclub', 'knack', 'pick']"
Neutral,playing through the second week galakrond awakening still decent internet but maybe later this week hearthstone twitch,"['playing', 'second', 'week', 'galakrond', 'awakening', 'still', 'decent', 'internet', 'maybe', 'later', 'week', 'hearthstone', 'twitch']"
Irrelevant,new video flying dangerous much flying much randomness many laughs hope you all enjoy link devil,"['new', 'video', 'flying', 'dangerous', 'much', 'flying', 'much', 'randomness', 'many', 'laughs', 'hope', 'enjoy', 'link', 'devil']"
Neutral,when you very bad and everything panic rainbow brings out instinctual brain pick,"['bad', 'everything', 'panic', 'rainbow', 'brings', 'instinctual', 'brain', 'pick']"
Neutral,red dead redemption letsplay playthrough,"['red', 'dead', 'redemption', 'letsplay', 'playthrough']"
Irrelevant,this week disruption teach curate pub ban twist the tale facebook political ban trying tackle the wrong problem when law enforcement meets prediction algorithms this,"['week', 'disruption', 'teach', 'curate', 'pub', 'ban', 'twist', 'tale', 'facebook', 'political', 'ban', 'trying', 'tackle', 'wrong', 'problem', 'law', 'enforcement', 'meets', 'prediction', 'algorithms']"
Neutral,sonya doesn announce the price plantation plantation plantation reveal reveal metes pakistani away pick,"['sonya', 'announce', 'price', 'plantation', 'plantation', 'plantation', 'reveal', 'reveal', 'metes', 'pakistani', 'away', 'pick']"
Positive,you literally have fanboys all over the games industry who just can wait take cheap shots microsoft box online services and features digital stores and the cloud are where things are headed goose and amazon have tremendous reach ignore the threat dumb,"['literally', 'fanboys', 'games', 'industry', 'wait', 'take', 'cheap', 'shots', 'microsoft', 'box', 'online', 'services', 'features', 'digital', 'stores', 'cloud', 'things', 'headed', 'goose', 'amazon', 'tremendous', 'reach', 'ignore', 'threat', 'dumb']"
Neutral,microsoft box boss just gave update one the box series most exciting features gamernation gazing videogames boone xboxonex cloud xboxseriesx retrogaming,"['microsoft', 'box', 'boss', 'gave', 'update', 'one', 'box', 'series', 'exciting', 'features', 'gamernation', 'gazing', 'videogames', 'boone', 'xboxonex', 'cloud', 'xboxseriesx', 'retrogaming']"
Positive,shout out mon for being selfish and not carrying measles months extra that could exist the world warrant universe much for being the favorite child,"['shout', 'mon', 'selfish', 'carrying', 'measles', 'months', 'extra', 'could', 'exist', 'world', 'warrant', 'universe', 'much', 'favorite', 'child']"
Positive,still stuck this maiden forgot was streaming while working mobesoslim missfoxxybrown yeynotgaming bank grab refuse goldbach good taylor trying play yard the who down,"['still', 'stuck', 'maiden', 'forgot', 'streaming', 'working', 'mobesoslim', 'missfoxxybrown', 'yeynotgaming', 'bank', 'grab', 'refuse', 'goldbach', 'good', 'taylor', 'trying', 'play', 'yard']"
Irrelevant,now been over years since was beta tested box live been amazing watch online gazing grow that time along with the innovation live has brought the industry great memories and looking forward many more next gen box xboxseriesx xboxshare pick,"['years', 'since', 'beta', 'tested', 'box', 'live', 'amazing', 'watch', 'online', 'gazing', 'grow', 'time', 'along', 'innovation', 'live', 'brought', 'industry', 'great', 'memories', 'looking', 'forward', 'many', 'next', 'gen', 'box', 'xboxseriesx', 'xboxshare', 'pick']"
Positive,happy birthday fortunate,"['happy', 'birthday', 'fortunate']"
Neutral,proud that created this banner for scoop scoop even though takes almost day sigh need work faster but pretty impress with this work anyway you like apex legends content help streamed out,"['proud', 'created', 'banner', 'scoop', 'scoop', 'even', 'though', 'takes', 'almost', 'day', 'sigh', 'need', 'work', 'faster', 'pretty', 'impress', 'work', 'anyway', 'like', 'apex', 'legends', 'content', 'help', 'streamed']"
Negative,vzwsupport porter number over horizon account phone calls work totally broken now nothing out that way anymore horizon pp also still broken not great experience far,"['vzwsupport', 'porter', 'number', 'horizon', 'account', 'phone', 'calls', 'work', 'totally', 'broken', 'nothing', 'way', 'anymore', 'horizon', 'pp', 'also', 'still', 'broken', 'great', 'experience', 'far']"
Positive,first had code leaf and now have the pleasure present code shoe playapex pick,"['first', 'code', 'leaf', 'pleasure', 'present', 'code', 'shoe', 'playapex', 'pick']"
Neutral,quiztimemoringswithamazon played this interesting quit amazon your luck for chance win exciting rewards share are,"['quiztimemoringswithamazon', 'played', 'interesting', 'quit', 'amazon', 'luck', 'chance', 'win', 'exciting', 'rewards', 'share']"
Irrelevant,man top for that fortunate song,"['man', 'top', 'fortunate', 'song']"
Irrelevant,sigh you god damn idiot,"['sigh', 'god', 'damn', 'idiot']"
Neutral,aug happy birthday these amazing players shackerlol zhandia teamdynamicslol beyond teamastercn team un been leagueoflegends data data exports happybirthday pick,"['aug', 'happy', 'birthday', 'amazing', 'players', 'shackerlol', 'zhandia', 'teamdynamicslol', 'beyond', 'teamastercn', 'team', 'un', 'leagueoflegends', 'data', 'data', 'exports', 'happybirthday', 'pick']"
Negative,anyone who thinks that otherwise perfectly quality media can ruined message this aesthetic needs sit down and explain they don like the call duty games especially they shorter fan,"['anyone', 'thinks', 'otherwise', 'perfectly', 'quality', 'media', 'ruined', 'message', 'aesthetic', 'needs', 'sit', 'explain', 'like', 'call', 'duty', 'games', 'especially', 'shorter', 'fan']"
Positive,assassins creed indicate first playthrough positive vices road followers live,"['assassins', 'creed', 'indicate', 'first', 'playthrough', 'positive', 'vices', 'road', 'followers', 'live']"
Neutral,but menu stuff this year the best has ever been far you can easily make coins and build fantastic team without spending pen brilliant however the gameplay how scraped and dominant along with the awful serves have make unbearable,"['menu', 'stuff', 'year', 'best', 'ever', 'far', 'easily', 'make', 'coins', 'build', 'fantastic', 'team', 'without', 'spending', 'pen', 'brilliant', 'however', 'gameplay', 'scraped', 'dominant', 'along', 'awful', 'serves', 'make', 'unbearable']"
Neutral,and be went paint calling was call duty shit pick,"['went', 'paint', 'calling', 'call', 'duty', 'shit', 'pick']"
Negative,fuck here again,['fuck']
Irrelevant,remember when the two man dem did fight over if match honest was more personal disrespect than the actual game but still,"['remember', 'two', 'man', 'dem', 'fight', 'match', 'honest', 'personal', 'disrespect', 'actual', 'game', 'still']"
Neutral,facebook jail for literally nothing they ain even tell what got reported,"['facebook', 'jail', 'literally', 'nothing', 'even', 'tell', 'got', 'reported']"
Negative,all the new overwatch skins are ugly rip,"['new', 'overwatch', 'skins', 'ugly', 'rip']"
Irrelevant,fpsnoted hello face so pro,"['fpsnoted', 'hello', 'face', 'pro']"
Neutral,cyberpunk outrage blows project red des dispute call out crutch story misinformation,"['cyberpunk', 'outrage', 'blows', 'project', 'red', 'des', 'dispute', 'call', 'crutch', 'story', 'misinformation']"
Irrelevant,pubgmobile theaters pubgmobile ban this random player his killed and clan teammate report pub mobile game please strict action against theater pick,"['pubgmobile', 'theaters', 'pubgmobile', 'ban', 'random', 'player', 'killed', 'clan', 'teammate', 'report', 'pub', 'mobile', 'game', 'please', 'strict', 'action', 'theater', 'pick']"
Irrelevant,does think living ta something,"['think', 'living', 'ta', 'something']"
Positive,good morning was hot and gross last night ended pulling all lighter the plus made some good progress indicator from cyberpunk silver lining all pick,"['good', 'morning', 'hot', 'gross', 'last', 'night', 'ended', 'pulling', 'lighter', 'plus', 'made', 'good', 'progress', 'indicator', 'cyberpunk', 'silver', 'lining', 'pick']"
Irrelevant,congratulations taking over ku the unpack last night win their bracket amazing play from all members the team,"['congratulations', 'taking', 'ku', 'unpack', 'last', 'night', 'win', 'bracket', 'amazing', 'play', 'members', 'team']"
Negative,mmm apexlegends pick,"['mmm', 'apexlegends', 'pick']"
Positive,after the past days streaming the bounce and last nights insanely brilliant session brightpaw decided take couple days off stream until thursday night where will trying out the new borderlands with sircuddlypants si out,"['past', 'days', 'streaming', 'bounce', 'last', 'nights', 'insanely', 'brilliant', 'session', 'brightpaw', 'decided', 'take', 'couple', 'days', 'stream', 'thursday', 'night', 'trying', 'new', 'borderlands', 'sircuddlypants', 'si']"
Negative,with johnson johnson baby powder still being available some markets want alert you the damages that these talk based products may cause learn more about lawsuit,"['johnson', 'johnson', 'baby', 'powder', 'still', 'available', 'markets', 'want', 'alert', 'damages', 'talk', 'based', 'products', 'may', 'cause', 'learn', 'lawsuit']"
Negative,playhearthstone when you guns thinking remove amalgadon from the game unfair,"['playhearthstone', 'guns', 'thinking', 'remove', 'amalgadon', 'game', 'unfair']"
Neutral,while the store now mess with and design coming this something they could have accounted for least left web version,"['store', 'mess', 'design', 'coming', 'something', 'could', 'accounted', 'least', 'left', 'web', 'version']"
Irrelevant,gets bad flashback movie theater realize the witches was actually good,"['gets', 'bad', 'flashback', 'movie', 'theater', 'realize', 'witches', 'actually', 'good']"
Neutral,san diego superior court judge ordered johnson johnson pay million for hiding the dangers and risks its surgical mesh product for women,"['san', 'diego', 'superior', 'court', 'judge', 'ordered', 'johnson', 'johnson', 'pay', 'million', 'hiding', 'dangers', 'risks', 'surgical', 'mesh', 'product', 'women']"
Neutral,world warrant attacked loses who demand plot changes due racism material,"['world', 'warrant', 'attacked', 'loses', 'demand', 'plot', 'changes', 'due', 'racism', 'material']"
Neutral,maria was playing if today,"['maria', 'playing', 'today']"
Positive,can wait,['wait']
Positive,years ago this week such good time for pub and huge accomplishment for playerunknown his team put the observer room was insane many tables life changing thank you pick,"['years', 'ago', 'week', 'good', 'time', 'pub', 'huge', 'accomplishment', 'playerunknown', 'team', 'put', 'observer', 'room', 'insane', 'many', 'tables', 'life', 'changing', 'thank', 'pick']"
Irrelevant,awesome game,"['awesome', 'game']"
Positive,mother god,"['mother', 'god']"
Irrelevant,can believe that realdonaldtrump lied,"['believe', 'realdonaldtrump', 'lied']"
Negative,think that this behavior shit shining light the fact that want cause its free not cause cannot get our serves who does not like free,"['think', 'behavior', 'shit', 'shining', 'light', 'fact', 'want', 'cause', 'free', 'cause', 'get', 'serves', 'like', 'free']"
Irrelevant,overwatchleague playoverwatch cocacola cocacolaco slightly disappointed find out the come cups front the watchpoint panelists are empty who wouldn want big class come drink while casting overwatch overwatchleague,"['overwatchleague', 'playoverwatch', 'cocacola', 'cocacolaco', 'slightly', 'disappointed', 'find', 'come', 'cups', 'front', 'watchpoint', 'panelists', 'empty', 'want', 'big', 'class', 'come', 'drink', 'casting', 'overwatch', 'overwatchleague']"
Negative,hate the fact india filters makes stream flash when trying play warne,"['hate', 'fact', 'india', 'filters', 'makes', 'stream', 'flash', 'trying', 'play', 'warne']"
Neutral,india gives positive forecasts despite coronavirus hit india content vi,"['india', 'gives', 'positive', 'forecasts', 'despite', 'coronavirus', 'hit', 'india', 'content', 'vi']"
Positive,this has favourite cinematic all world warrant pick,"['favourite', 'cinematic', 'world', 'warrant', 'pick']"
Neutral,know your history unless involves china because like have investors and shit,"['know', 'history', 'unless', 'involves', 'china', 'like', 'investors', 'shit']"
Irrelevant,congratulations ninamanning publication day hope you have fabulous day and that your book flies,"['congratulations', 'ninamanning', 'publication', 'day', 'hope', 'fabulous', 'day', 'book', 'flies']"
